Feature,Importance
Contract,0.3565989449600923
MonthlyCharges,0.16086903433902774
tenure,0.14281475140136907
TotalCharges,0.12266831777991714
OnlineSecurity,0.054507189863994665
TechSupport,0.0438713677404863
PaperlessBilling,0.023672674340282075
InternetService,0.02027576197243462
PaymentMethod,0.017348997211171426
MultipleLines,0.008860833013256462
OnlineBackup,0.007918063517555186
SeniorCitizen,0.00790526609385265
DeviceProtection,0.006095237818335684
StreamingTV,0.005973333227433993
StreamingMovies,0.005650414100040961
gender,0.004985467889636062
PhoneService,0.004416174876187872
Dependents,0.0043324257959790335
Partner,0.0012357440589466642
